                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 2.8264,                  2.411,                 2.2462,                0.44753,                0.26981,                0.19123,                0.05857,                 2.7532,                 1.8235,                 2.1319,             0.00062729,             0.00062729,             0.00062729
                     65,                 2.7224,                 2.6118,                 2.2305,                0.50368,                0.28002,                0.20541,                 0.0615,                 2.7413,                 1.8222,                 2.1137,             0.00061079,             0.00061079,             0.00061079
                     66,                 2.6172,                 2.9303,                 2.0446,                0.50368,                0.28002,                0.20541,                 0.0615,                 2.7413,                 1.8222,                 2.1137,             0.00059429,             0.00059429,             0.00059429
                     67,                 2.6752,                 2.4366,                 2.1202,                0.46936,                0.24675,                0.18843,                0.05568,                  2.774,                  1.866,                 2.1461,             0.00057778,             0.00057778,             0.00057778
                     68,                  2.782,                 2.3095,                 2.1412,                0.46936,                0.24675,                0.18843,                0.05568,                  2.774,                  1.866,                 2.1461,             0.00056128,             0.00056128,             0.00056128
                     69,                 2.6994,                  2.581,                 2.1135,                0.40267,                0.26776,                0.18885,                0.05547,                 2.7791,                 1.8796,                 2.1294,             0.00054478,             0.00054478,             0.00054478
                     70,                 2.8718,                 2.5574,                 2.2972,                0.37093,                0.26859,                0.18028,                0.05274,                  2.796,                 1.9173,                 2.1405,             0.00052827,             0.00052827,             0.00052827
                     71,                 2.6704,                 2.5822,                 2.0867,                0.37093,                0.26859,                0.18028,                0.05274,                  2.796,                 1.9173,                 2.1405,             0.00051177,             0.00051177,             0.00051177
                     72,                 2.8248,                 2.1356,                 2.0497,                0.40434,                 0.2485,                 0.1919,                 0.0597,                 2.7714,                 1.8895,                 2.1206,             0.00049527,             0.00049527,             0.00049527
                     73,                 2.7618,                 2.4155,                 2.1457,                0.40434,                 0.2485,                 0.1919,                 0.0597,                 2.7714,                 1.8895,                 2.1206,             0.00047876,             0.00047876,             0.00047876
                     74,                 2.9643,                  2.357,                 2.3085,                0.47021,                0.26412,                0.21645,                0.06925,                 2.7495,                 1.7975,                 2.0684,             0.00046226,             0.00046226,             0.00046226
                     75,                 2.7599,                 2.3838,                 2.1075,                0.47021,                0.26412,                0.21645,                0.06925,                 2.7495,                 1.7975,                 2.0684,             0.00044576,             0.00044576,             0.00044576
                     76,                 2.5807,                 2.4092,                 2.0069,                0.52663,                0.24299,                0.21281,                0.06657,                 2.7592,                 1.7474,                  2.058,             0.00042925,             0.00042925,             0.00042925
                     77,                 2.6905,                 2.5127,                 2.0075,                 0.5126,                0.25682,                0.20907,                 0.0674,                 2.7632,                 1.7318,                 2.0215,             0.00041275,             0.00041275,             0.00041275
                     78,                 2.7702,                 2.2315,                  2.046,                 0.5126,                0.25682,                0.20907,                 0.0674,                 2.7632,                 1.7318,                 2.0215,             0.00039625,             0.00039625,             0.00039625
                     79,                  2.807,                 2.2546,                  1.973,                0.54501,                 0.2296,                0.15999,                0.05387,                 2.7639,                 2.0554,                 2.0418,             0.00037974,             0.00037974,             0.00037974
                     80,                 2.8216,                 2.0696,                 2.1535,                0.54501,                 0.2296,                0.15999,                0.05387,                 2.7639,                 2.0554,                 2.0418,             0.00036324,             0.00036324,             0.00036324
                     81,                 2.8297,                 2.1825,                 2.1647,                0.46045,                0.27437,                0.17789,                0.06292,                 2.6824,                 1.9543,                 1.9784,             0.00034674,             0.00034674,             0.00034674
                     82,                 2.7015,                 2.2504,                 2.1347,                0.46045,                0.27437,                0.17789,                0.06292,                 2.6824,                 1.9543,                 1.9784,             0.00033023,             0.00033023,             0.00033023
                     83,                 2.8171,                 2.4375,                 1.9883,                0.48701,                 0.2542,                0.18546,                0.06639,                 2.6594,                 1.8953,                 1.9594,             0.00031373,             0.00031373,             0.00031373
                     84,                 2.8589,                 2.1528,                 2.0864,                0.52225,                0.23179,                0.16533,                0.05979,                 2.6559,                  2.078,                  1.973,             0.00029723,             0.00029723,             0.00029723
                     85,                 2.6127,                 2.5421,                 1.9455,                0.52225,                0.23179,                0.16533,                0.05979,                 2.6559,                  2.078,                  1.973,             0.00028072,             0.00028072,             0.00028072
                     86,                  2.493,                 2.7455,                 1.9751,                0.39801,                0.26968,                0.16076,                0.05784,                 2.6594,                 2.1146,                   1.96,             0.00026422,             0.00026422,             0.00026422
                     87,                  2.857,                 2.6765,                 2.1517,                0.39801,                0.26968,                0.16076,                0.05784,                 2.6594,                 2.1146,                   1.96,             0.00024772,             0.00024772,             0.00024772
                     88,                 2.6708,                 2.0315,                 1.9625,                0.44942,                0.25353,                0.18401,                0.06377,                 2.6799,                 2.0017,                 1.9422,             0.00023121,             0.00023121,             0.00023121
                     89,                 2.9674,                 2.3602,                  2.084,                0.40554,                0.25864,                0.16983,                0.05956,                 2.6799,                 2.0352,                 1.9444,             0.00021471,             0.00021471,             0.00021471
                     90,                 2.7518,                 2.1915,                 2.0013,                0.40554,                0.25864,                0.16983,                0.05956,                 2.6799,                 2.0352,                 1.9444,             0.00019821,             0.00019821,             0.00019821
                     91,                 2.5651,                 2.7691,                 1.8353,                0.46737,                0.28618,                0.21499,                0.07034,                 2.6821,                 1.8291,                 1.9281,              0.0001817,              0.0001817,              0.0001817
                     92,                 2.6383,                 2.7487,                 1.8976,                0.46737,                0.28618,                0.21499,                0.07034,                 2.6821,                 1.8291,                 1.9281,              0.0001652,              0.0001652,              0.0001652
                     93,                 2.6109,                 2.6657,                 1.9003,                0.43592,                0.29778,                0.21849,                0.07109,                 2.6829,                  1.809,                  1.912,              0.0001487,              0.0001487,              0.0001487
                     94,                 2.5897,                 2.6654,                 1.8151,                0.43592,                0.29778,                0.21849,                0.07109,                 2.6829,                  1.809,                  1.912,             0.00013219,             0.00013219,             0.00013219
                     95,                  2.661,                 2.3655,                 1.8887,                0.42303,                0.29264,                 0.2193,                0.07263,                 2.6895,                 1.7686,                 1.9085,             0.00011569,             0.00011569,             0.00011569
                     96,                 2.5729,                 2.6179,                 1.8858,                0.47123,                0.29236,                0.21971,                0.07106,                 2.6967,                 1.8026,                 1.9031,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                 2.6137,                 2.4997,                 1.8571,                0.47123,                0.29236,                0.21971,                0.07106,                 2.6967,                 1.8026,                 1.9031,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                 2.5388,                  2.683,                 1.8173,                0.44576,                0.28536,                0.22392,                0.07273,                 2.7027,                 1.7725,                 1.8977,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                 2.6551,                 2.3232,                 1.8221,                0.44576,                0.28536,                0.22392,                0.07273,                 2.7027,                 1.7725,                 1.8977,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                 2.6025,                 2.4186,                 1.8499,                0.45954,                0.27579,                0.22008,                0.07183,                 2.6966,                 1.8166,                 1.8979,             3.3173e-05,             3.3173e-05,             3.3173e-05
